chunk_size,chunk_overlap,n_queries,source_rows_indexed,total_chunks,avg_chunks_per_source_row,hit_at_1,hit_at_3,hit_at_5,mrr_at_5,mean_latency_seconds,median_latency_seconds,build_seconds
512,100,2213,2213,3536,1.5978309986443742,0.6769091730682332,0.7736104835065521,0.8269317668323543,0.73326555204097,0.07167207695434619,0.0697032999996736,471.0004277000007
1000,200,2213,2213,2492,1.1260732037957524,0.6823316764572978,0.789877993673746,0.8309986443741527,0.740533212833258,0.06431936787169688,0.0630275999974401,368.8303874000012
1800,360,2213,2213,2239,1.0117487573429733,0.6850429281518301,0.7925892453682784,0.8328061455038409,0.7428453080283175,0.06336831789427305,0.0621586000015668,319.72791300000245
3000,600,2213,2213,2217,1.0018075011296883,0.6859466787166743,0.7934929959331225,0.8341617713511071,0.7441331525832203,0.0670645553095691,0.065240600000834,316.9322030999974
