comparison,metric,n_pairs,adaptive_mean,fixed_mean,mean_difference,better_cases,equal_cases,worse_cases,statistic,p_value,significant_0_05
Adaptive alpha v2 vs Fixed alpha = 0.3,MRR@5,212,0.3761792452830189,0.3710691823899371,0.005110062893081762,5,206,1,207.0,0.10044842673522013,False
Adaptive alpha v2 vs Fixed alpha = 0.3,Hit Rate@5,212,0.47641509433962265,0.4716981132075472,0.0047169811320754715,1,211,0,0.0,0.31731050786291415,False
Adaptive alpha v2 vs Fixed alpha = 0.4,MRR@5,212,0.3761792452830189,0.3745283018867925,0.0016509433962264158,9,196,7,1425.0,0.6060086864324298,False
Adaptive alpha v2 vs Fixed alpha = 0.4,Hit Rate@5,212,0.47641509433962265,0.45754716981132076,0.018867924528301886,4,208,0,0.0,0.0455002638963584,True
Adaptive alpha v2 vs Fixed alpha = 0.5,MRR@5,212,0.3761792452830189,0.3590408805031447,0.017138364779874214,25,171,16,3075.0,0.1619601152270287,False
Adaptive alpha v2 vs Fixed alpha = 0.5,Hit Rate@5,212,0.47641509433962265,0.46226415094339623,0.014150943396226415,4,207,1,210.0,0.17971249487899976,False
Adaptive alpha v2 vs Fixed alpha = 0.7,MRR@5,212,0.3761792452830189,0.3289308176100629,0.04724842767295597,37,157,18,3274.5,0.008437093320716883,True
Adaptive alpha v2 vs Fixed alpha = 0.7,Hit Rate@5,212,0.47641509433962265,0.45754716981132076,0.018867924528301886,5,206,1,209.5,0.10247043485974941,False
